Program_Type,Alliance,Record,Year,Service_Type,Service_Population,Count_Type,Educator_Type,Ethnicity,Count
NSF INCLUDES,First2,1,2019-2020,Direct ,Educators,Duplicated,"Faculty, postdocs, graduate students, and administrators at 4-year IHEs",Not Provided,13
NSF INCLUDES,IGEN,1,2019-2020,Direct ,Educators,Duplicated,"Faculty, postdocs, graduate students, and administrators at 4-year IHEs",Hispanic or Latino/a/x,0
NSF INCLUDES,IGEN,1,2019-2020,Direct ,Educators,Duplicated,"Faculty, postdocs, graduate students, and administrators at 4-year IHEs",Not Collected,43
NSF INCLUDES,IGEN,1,2019-2020,Direct ,Educators,Duplicated,"Faculty, postdocs, graduate students, and administrators at 4-year IHEs",Not Hispanic or Latino/a/x,0
NSF INCLUDES,IGEN,1,2019-2020,Direct ,Educators,Duplicated,"Faculty, postdocs, graduate students, and administrators at 4-year IHEs",Not Provided,0
NSF INCLUDES,SEAS,1,2019-2020,Direct ,Educators,Duplicated,"Faculty, postdocs, graduate students, and administrators at 4-year IHEs",Hispanic or Latino/a/x,0
NSF INCLUDES,SEAS,1,2019-2020,Direct ,Educators,Duplicated,"Faculty, postdocs, graduate students, and administrators at 4-year IHEs",Not Collected,0
NSF INCLUDES,SEAS,1,2019-2020,Direct ,Educators,Duplicated,"Faculty, postdocs, graduate students, and administrators at 4-year IHEs",Not Hispanic or Latino/a/x,0
NSF INCLUDES,SEAS,1,2019-2020,Direct ,Educators,Duplicated,"Faculty, postdocs, graduate students, and administrators at 4-year IHEs",Not Provided,0
NSF INCLUDES,STEM CORE,1,2019-2020,Direct ,Educators,Duplicated,"Faculty, postdocs, graduate students, and administrators at 4-year IHEs",Hispanic or Latino/a/x,0
NSF INCLUDES,STEM CORE,1,2019-2020,Direct ,Educators,Duplicated,"Faculty, postdocs, graduate students, and administrators at 4-year IHEs",Not Collected,0
NSF INCLUDES,STEM CORE,1,2019-2020,Direct ,Educators,Duplicated,"Faculty, postdocs, graduate students, and administrators at 4-year IHEs",Not Hispanic or Latino/a/x,0
NSF INCLUDES,STEM CORE,1,2019-2020,Direct ,Educators,Duplicated,"Faculty, postdocs, graduate students, and administrators at 4-year IHEs",Not Provided,0
NSF INCLUDES,STEM OPS,1,2019-2020,Direct ,Educators,Duplicated,"Faculty, postdocs, graduate students, and administrators at 4-year IHEs",Hispanic or Latino/a/x,0
NSF INCLUDES,STEM OPS,1,2019-2020,Direct ,Educators,Duplicated,"Faculty, postdocs, graduate students, and administrators at 4-year IHEs",Not Collected,0
NSF INCLUDES,STEM OPS,1,2019-2020,Direct ,Educators,Duplicated,"Faculty, postdocs, graduate students, and administrators at 4-year IHEs",Not Hispanic or Latino/a/x,3
NSF INCLUDES,STEM OPS,1,2019-2020,Direct ,Educators,Duplicated,"Faculty, postdocs, graduate students, and administrators at 4-year IHEs",Not Provided,0
NSF INCLUDES,STEM PUSH,1,2019-2020,Direct ,Educators,Duplicated,"Faculty, postdocs, graduate students, and administrators at 4-year IHEs",Hispanic or Latino/a/x,0
NSF INCLUDES,STEM PUSH,1,2019-2020,Direct ,Educators,Duplicated,"Faculty, postdocs, graduate students, and administrators at 4-year IHEs",Not Collected,0
NSF INCLUDES,STEM PUSH,1,2019-2020,Direct ,Educators,Duplicated,"Faculty, postdocs, graduate students, and administrators at 4-year IHEs",Not Hispanic or Latino/a/x,0
NSF INCLUDES,STEM PUSH,1,2019-2020,Direct ,Educators,Duplicated,"Faculty, postdocs, graduate students, and administrators at 4-year IHEs",Not Provided,0
NSF INCLUDES,Aspire,1,2019-2020,Direct ,Educators,Duplicated,"IHE faculty (cannot distinguish between faculty and administrators at associate colleges, doctoral-granting institutions, masters colleges and universities, or baccalaureate colleges)",Hispanic or Latino/a/x,0
NSF INCLUDES,Aspire,1,2019-2020,Direct ,Educators,Duplicated,"IHE faculty (cannot distinguish between faculty and administrators at associate colleges, doctoral-granting institutions, masters colleges and universities, or baccalaureate colleges)",Not Collected,0
NSF INCLUDES,Aspire,1,2019-2020,Direct ,Educators,Duplicated,"IHE faculty (cannot distinguish between faculty and administrators at associate colleges, doctoral-granting institutions, masters colleges and universities, or baccalaureate colleges)",Not Hispanic or Latino/a/x,0
NSF INCLUDES,Aspire,1,2019-2020,Direct ,Educators,Duplicated,"IHE faculty (cannot distinguish between faculty and administrators at associate colleges, doctoral-granting institutions, masters colleges and universities, or baccalaureate colleges)",Not Provided,0
NSF INCLUDES,CAHSI,1,2019-2020,Direct ,Educators,Duplicated,"IHE faculty (cannot distinguish between faculty and administrators at associate colleges, doctoral-granting institutions, masters colleges and universities, or baccalaureate colleges)",Hispanic or Latino/a/x,0
NSF INCLUDES,CAHSI,1,2019-2020,Direct ,Educators,Duplicated,"IHE faculty (cannot distinguish between faculty and administrators at associate colleges, doctoral-granting institutions, masters colleges and universities, or baccalaureate colleges)",Not Collected,0
NSF INCLUDES,CAHSI,1,2019-2020,Direct ,Educators,Duplicated,"IHE faculty (cannot distinguish between faculty and administrators at associate colleges, doctoral-granting institutions, masters colleges and universities, or baccalaureate colleges)",Not Hispanic or Latino/a/x,0
NSF INCLUDES,CAHSI,1,2019-2020,Direct ,Educators,Duplicated,"IHE faculty (cannot distinguish between faculty and administrators at associate colleges, doctoral-granting institutions, masters colleges and universities, or baccalaureate colleges)",Not Provided,0
NSF INCLUDES,First2,1,2019-2020,Direct ,Educators,Duplicated,"IHE faculty (cannot distinguish between faculty and administrators at associate colleges, doctoral-granting institutions, masters colleges and universities, or baccalaureate colleges)",Hispanic or Latino/a/x,0
NSF INCLUDES,First2,1,2019-2020,Direct ,Educators,Duplicated,"IHE faculty (cannot distinguish between faculty and administrators at associate colleges, doctoral-granting institutions, masters colleges and universities, or baccalaureate colleges)",Not Collected,0
NSF INCLUDES,First2,1,2019-2020,Direct ,Educators,Duplicated,"IHE faculty (cannot distinguish between faculty and administrators at associate colleges, doctoral-granting institutions, masters colleges and universities, or baccalaureate colleges)",Not Hispanic or Latino/a/x,4
NSF INCLUDES,First2,1,2019-2020,Direct ,Educators,Duplicated,"IHE faculty (cannot distinguish between faculty and administrators at associate colleges, doctoral-granting institutions, masters colleges and universities, or baccalaureate colleges)",Not Provided,0
NSF INCLUDES,IGEN,1,2019-2020,Direct ,Educators,Duplicated,"IHE faculty (cannot distinguish between faculty and administrators at associate colleges, doctoral-granting institutions, masters colleges and universities, or baccalaureate colleges)",Hispanic or Latino/a/x,0
NSF INCLUDES,IGEN,1,2019-2020,Direct ,Educators,Duplicated,"IHE faculty (cannot distinguish between faculty and administrators at associate colleges, doctoral-granting institutions, masters colleges and universities, or baccalaureate colleges)",Not Collected,100
NSF INCLUDES,IGEN,1,2019-2020,Direct ,Educators,Duplicated,"IHE faculty (cannot distinguish between faculty and administrators at associate colleges, doctoral-granting institutions, masters colleges and universities, or baccalaureate colleges)",Not Hispanic or Latino/a/x,0
NSF INCLUDES,IGEN,1,2019-2020,Direct ,Educators,Duplicated,"IHE faculty (cannot distinguish between faculty and administrators at associate colleges, doctoral-granting institutions, masters colleges and universities, or baccalaureate colleges)",Not Provided,0
NSF INCLUDES,SEAS,1,2019-2020,Direct ,Educators,Duplicated,"IHE faculty (cannot distinguish between faculty and administrators at associate colleges, doctoral-granting institutions, masters colleges and universities, or baccalaureate colleges)",Hispanic or Latino/a/x,0
NSF INCLUDES,SEAS,1,2019-2020,Direct ,Educators,Duplicated,"IHE faculty (cannot distinguish between faculty and administrators at associate colleges, doctoral-granting institutions, masters colleges and universities, or baccalaureate colleges)",Not Collected,0
NSF INCLUDES,SEAS,1,2019-2020,Direct ,Educators,Duplicated,"IHE faculty (cannot distinguish between faculty and administrators at associate colleges, doctoral-granting institutions, masters colleges and universities, or baccalaureate colleges)",Not Hispanic or Latino/a/x,0
NSF INCLUDES,SEAS,1,2019-2020,Direct ,Educators,Duplicated,"IHE faculty (cannot distinguish between faculty and administrators at associate colleges, doctoral-granting institutions, masters colleges and universities, or baccalaureate colleges)",Not Provided,0
NSF INCLUDES,STEM CORE,1,2019-2020,Direct ,Educators,Duplicated,"IHE faculty (cannot distinguish between faculty and administrators at associate colleges, doctoral-granting institutions, masters colleges and universities, or baccalaureate colleges)",Hispanic or Latino/a/x,0
NSF INCLUDES,STEM CORE,1,2019-2020,Direct ,Educators,Duplicated,"IHE faculty (cannot distinguish between faculty and administrators at associate colleges, doctoral-granting institutions, masters colleges and universities, or baccalaureate colleges)",Not Collected,0
NSF INCLUDES,STEM CORE,1,2019-2020,Direct ,Educators,Duplicated,"IHE faculty (cannot distinguish between faculty and administrators at associate colleges, doctoral-granting institutions, masters colleges and universities, or baccalaureate colleges)",Not Hispanic or Latino/a/x,0
NSF INCLUDES,STEM CORE,1,2019-2020,Direct ,Educators,Duplicated,"IHE faculty (cannot distinguish between faculty and administrators at associate colleges, doctoral-granting institutions, masters colleges and universities, or baccalaureate colleges)",Not Provided,0
NSF INCLUDES,STEM OPS,1,2019-2020,Direct ,Educators,Duplicated,"IHE faculty (cannot distinguish between faculty and administrators at associate colleges, doctoral-granting institutions, masters colleges and universities, or baccalaureate colleges)",Hispanic or Latino/a/x,0
