Program_Type,Alliance,Record,Year,Service_Type,Service_Population,Count_Type,Educator_Type,Ethnicity,Count
NSF INCLUDES,STEM OPS,1,2019-2020,Direct ,Educators,Duplicated,"IHE faculty (cannot distinguish between faculty and administrators at associate colleges, doctoral-granting institutions, masters colleges and universities, or baccalaureate colleges)",Not Collected,0
NSF INCLUDES,STEM OPS,1,2019-2020,Direct ,Educators,Duplicated,"IHE faculty (cannot distinguish between faculty and administrators at associate colleges, doctoral-granting institutions, masters colleges and universities, or baccalaureate colleges)",Not Hispanic or Latino/a/x,0
NSF INCLUDES,STEM OPS,1,2019-2020,Direct ,Educators,Duplicated,"IHE faculty (cannot distinguish between faculty and administrators at associate colleges, doctoral-granting institutions, masters colleges and universities, or baccalaureate colleges)",Not Provided,0
NSF INCLUDES,STEM PUSH,1,2019-2020,Direct ,Educators,Duplicated,"IHE faculty (cannot distinguish between faculty and administrators at associate colleges, doctoral-granting institutions, masters colleges and universities, or baccalaureate colleges)",Hispanic or Latino/a/x,0
NSF INCLUDES,STEM PUSH,1,2019-2020,Direct ,Educators,Duplicated,"IHE faculty (cannot distinguish between faculty and administrators at associate colleges, doctoral-granting institutions, masters colleges and universities, or baccalaureate colleges)",Not Collected,0
NSF INCLUDES,STEM PUSH,1,2019-2020,Direct ,Educators,Duplicated,"IHE faculty (cannot distinguish between faculty and administrators at associate colleges, doctoral-granting institutions, masters colleges and universities, or baccalaureate colleges)",Not Hispanic or Latino/a/x,0
NSF INCLUDES,STEM PUSH,1,2019-2020,Direct ,Educators,Duplicated,"IHE faculty (cannot distinguish between faculty and administrators at associate colleges, doctoral-granting institutions, masters colleges and universities, or baccalaureate colleges)",Not Provided,0
NSF INCLUDES,Aspire,1,2019-2020,Direct ,Educators,Duplicated,PreK–12 teachers and administrators,Hispanic or Latino/a/x,0
NSF INCLUDES,Aspire,1,2019-2020,Direct ,Educators,Duplicated,PreK–12 teachers and administrators,Not Collected,0
NSF INCLUDES,Aspire,1,2019-2020,Direct ,Educators,Duplicated,PreK–12 teachers and administrators,Not Hispanic or Latino/a/x,0
NSF INCLUDES,Aspire,1,2019-2020,Direct ,Educators,Duplicated,PreK–12 teachers and administrators,Not Provided,0
NSF INCLUDES,CAHSI,1,2019-2020,Direct ,Educators,Duplicated,PreK–12 teachers and administrators,Hispanic or Latino/a/x,0
NSF INCLUDES,CAHSI,1,2019-2020,Direct ,Educators,Duplicated,PreK–12 teachers and administrators,Not Collected,0
NSF INCLUDES,CAHSI,1,2019-2020,Direct ,Educators,Duplicated,PreK–12 teachers and administrators,Not Hispanic or Latino/a/x,0
NSF INCLUDES,CAHSI,1,2019-2020,Direct ,Educators,Duplicated,PreK–12 teachers and administrators,Not Provided,0
NSF INCLUDES,First2,1,2019-2020,Direct ,Educators,Duplicated,PreK–12 teachers and administrators,Hispanic or Latino/a/x,0
NSF INCLUDES,First2,1,2019-2020,Direct ,Educators,Duplicated,PreK–12 teachers and administrators,Not Collected,0
NSF INCLUDES,First2,1,2019-2020,Direct ,Educators,Duplicated,PreK–12 teachers and administrators,Not Hispanic or Latino/a/x,0
NSF INCLUDES,First2,1,2019-2020,Direct ,Educators,Duplicated,PreK–12 teachers and administrators,Not Provided,0
NSF INCLUDES,IGEN,1,2019-2020,Direct ,Educators,Duplicated,PreK–12 teachers and administrators,Hispanic or Latino/a/x,0
NSF INCLUDES,IGEN,1,2019-2020,Direct ,Educators,Duplicated,PreK–12 teachers and administrators,Not Collected,0
NSF INCLUDES,IGEN,1,2019-2020,Direct ,Educators,Duplicated,PreK–12 teachers and administrators,Not Hispanic or Latino/a/x,0
NSF INCLUDES,IGEN,1,2019-2020,Direct ,Educators,Duplicated,PreK–12 teachers and administrators,Not Provided,0
NSF INCLUDES,SEAS,1,2019-2020,Direct ,Educators,Duplicated,PreK–12 teachers and administrators,Hispanic or Latino/a/x,0
NSF INCLUDES,SEAS,1,2019-2020,Direct ,Educators,Duplicated,PreK–12 teachers and administrators,Not Collected,0
NSF INCLUDES,SEAS,1,2019-2020,Direct ,Educators,Duplicated,PreK–12 teachers and administrators,Not Hispanic or Latino/a/x,0
NSF INCLUDES,SEAS,1,2019-2020,Direct ,Educators,Duplicated,PreK–12 teachers and administrators,Not Provided,0
NSF INCLUDES,STEM CORE,1,2019-2020,Direct ,Educators,Duplicated,PreK–12 teachers and administrators,Hispanic or Latino/a/x,0
NSF INCLUDES,STEM CORE,1,2019-2020,Direct ,Educators,Duplicated,PreK–12 teachers and administrators,Not Collected,0
NSF INCLUDES,STEM CORE,1,2019-2020,Direct ,Educators,Duplicated,PreK–12 teachers and administrators,Not Hispanic or Latino/a/x,0
NSF INCLUDES,STEM CORE,1,2019-2020,Direct ,Educators,Duplicated,PreK–12 teachers and administrators,Not Provided,0
NSF INCLUDES,STEM OPS,1,2019-2020,Direct ,Educators,Duplicated,PreK–12 teachers and administrators,Hispanic or Latino/a/x,0
NSF INCLUDES,STEM OPS,1,2019-2020,Direct ,Educators,Duplicated,PreK–12 teachers and administrators,Not Collected,0
NSF INCLUDES,STEM OPS,1,2019-2020,Direct ,Educators,Duplicated,PreK–12 teachers and administrators,Not Hispanic or Latino/a/x,0
NSF INCLUDES,STEM OPS,1,2019-2020,Direct ,Educators,Duplicated,PreK–12 teachers and administrators,Not Provided,0
NSF INCLUDES,STEM PUSH,1,2019-2020,Direct ,Educators,Duplicated,PreK–12 teachers and administrators,Hispanic or Latino/a/x,0
NSF INCLUDES,STEM PUSH,1,2019-2020,Direct ,Educators,Duplicated,PreK–12 teachers and administrators,Not Collected,0
NSF INCLUDES,STEM PUSH,1,2019-2020,Direct ,Educators,Duplicated,PreK–12 teachers and administrators,Not Hispanic or Latino/a/x,0
NSF INCLUDES,STEM PUSH,1,2019-2020,Direct ,Educators,Duplicated,PreK–12 teachers and administrators,Not Provided,0
NSF INCLUDES,Aspire,1,2019-2020,Direct ,Educators,Duplicated,PreK-20 educators (cannot distinguish educator levels),Hispanic or Latino/a/x,0
NSF INCLUDES,Aspire,1,2019-2020,Direct ,Educators,Duplicated,PreK-20 educators (cannot distinguish educator levels),Not Collected,0
NSF INCLUDES,Aspire,1,2019-2020,Direct ,Educators,Duplicated,PreK-20 educators (cannot distinguish educator levels),Not Hispanic or Latino/a/x,0
NSF INCLUDES,Aspire,1,2019-2020,Direct ,Educators,Duplicated,PreK-20 educators (cannot distinguish educator levels),Not Provided,0
NSF INCLUDES,CAHSI,1,2019-2020,Direct ,Educators,Duplicated,PreK-20 educators (cannot distinguish educator levels),Hispanic or Latino/a/x,0
NSF INCLUDES,CAHSI,1,2019-2020,Direct ,Educators,Duplicated,PreK-20 educators (cannot distinguish educator levels),Not Collected,0
NSF INCLUDES,CAHSI,1,2019-2020,Direct ,Educators,Duplicated,PreK-20 educators (cannot distinguish educator levels),Not Hispanic or Latino/a/x,0
NSF INCLUDES,CAHSI,1,2019-2020,Direct ,Educators,Duplicated,PreK-20 educators (cannot distinguish educator levels),Not Provided,0
NSF INCLUDES,First2,1,2019-2020,Direct ,Educators,Duplicated,PreK-20 educators (cannot distinguish educator levels),Hispanic or Latino/a/x,0
NSF INCLUDES,First2,1,2019-2020,Direct ,Educators,Duplicated,PreK-20 educators (cannot distinguish educator levels),Not Collected,0
NSF INCLUDES,First2,1,2019-2020,Direct ,Educators,Duplicated,PreK-20 educators (cannot distinguish educator levels),Not Hispanic or Latino/a/x,0
NSF INCLUDES,First2,1,2019-2020,Direct ,Educators,Duplicated,PreK-20 educators (cannot distinguish educator levels),Not Provided,0
NSF INCLUDES,IGEN,1,2019-2020,Direct ,Educators,Duplicated,PreK-20 educators (cannot distinguish educator levels),Hispanic or Latino/a/x,0
NSF INCLUDES,IGEN,1,2019-2020,Direct ,Educators,Duplicated,PreK-20 educators (cannot distinguish educator levels),Not Collected,0
NSF INCLUDES,IGEN,1,2019-2020,Direct ,Educators,Duplicated,PreK-20 educators (cannot distinguish educator levels),Not Hispanic or Latino/a/x,0
NSF INCLUDES,IGEN,1,2019-2020,Direct ,Educators,Duplicated,PreK-20 educators (cannot distinguish educator levels),Not Provided,0
NSF INCLUDES,SEAS,1,2019-2020,Direct ,Educators,Duplicated,PreK-20 educators (cannot distinguish educator levels),Hispanic or Latino/a/x,0
NSF INCLUDES,SEAS,1,2019-2020,Direct ,Educators,Duplicated,PreK-20 educators (cannot distinguish educator levels),Not Collected,0
NSF INCLUDES,SEAS,1,2019-2020,Direct ,Educators,Duplicated,PreK-20 educators (cannot distinguish educator levels),Not Hispanic or Latino/a/x,0
NSF INCLUDES,SEAS,1,2019-2020,Direct ,Educators,Duplicated,PreK-20 educators (cannot distinguish educator levels),Not Provided,0
NSF INCLUDES,STEM CORE,1,2019-2020,Direct ,Educators,Duplicated,PreK-20 educators (cannot distinguish educator levels),Hispanic or Latino/a/x,0
NSF INCLUDES,STEM CORE,1,2019-2020,Direct ,Educators,Duplicated,PreK-20 educators (cannot distinguish educator levels),Not Collected,0
NSF INCLUDES,STEM CORE,1,2019-2020,Direct ,Educators,Duplicated,PreK-20 educators (cannot distinguish educator levels),Not Hispanic or Latino/a/x,0
NSF INCLUDES,STEM CORE,1,2019-2020,Direct ,Educators,Duplicated,PreK-20 educators (cannot distinguish educator levels),Not Provided,0
NSF INCLUDES,STEM OPS,1,2019-2020,Direct ,Educators,Duplicated,PreK-20 educators (cannot distinguish educator levels),Hispanic or Latino/a/x,0
NSF INCLUDES,STEM OPS,1,2019-2020,Direct ,Educators,Duplicated,PreK-20 educators (cannot distinguish educator levels),Not Collected,0
NSF INCLUDES,STEM OPS,1,2019-2020,Direct ,Educators,Duplicated,PreK-20 educators (cannot distinguish educator levels),Not Hispanic or Latino/a/x,0
NSF INCLUDES,STEM OPS,1,2019-2020,Direct ,Educators,Duplicated,PreK-20 educators (cannot distinguish educator levels),Not Provided,0
NSF INCLUDES,STEM PUSH,1,2019-2020,Direct ,Educators,Duplicated,PreK-20 educators (cannot distinguish educator levels),Hispanic or Latino/a/x,4
NSF INCLUDES,STEM PUSH,1,2019-2020,Direct ,Educators,Duplicated,PreK-20 educators (cannot distinguish educator levels),Not Collected,0
NSF INCLUDES,STEM PUSH,1,2019-2020,Direct ,Educators,Duplicated,PreK-20 educators (cannot distinguish educator levels),Not Hispanic or Latino/a/x,20
NSF INCLUDES,STEM PUSH,1,2019-2020,Direct ,Educators,Duplicated,PreK-20 educators (cannot distinguish educator levels),Not Provided,17
