Program_Type,Alliance,Record,Year,Service_Type,Service_Population,Count_type,Student_Type,Race,Count
NSF INCLUDES Alliances,CAHSI,1,2019-2020,Direct,Student ,Duplicated,Post-secondary students (cannot distinguish IHE levels),Not collected,36
NSF INCLUDES Alliances,CAHSI,1,2019-2020,Direct,Student ,Duplicated,Post-secondary students (cannot distinguish IHE levels),Not provided,0
NSF INCLUDES Alliances,CAHSI,1,2019-2020,Direct,Student ,Duplicated,Post-secondary students (cannot distinguish IHE levels),Other,0
NSF INCLUDES Alliances,CAHSI,1,2019-2020,Direct,Student ,Duplicated,Post-secondary students (cannot distinguish IHE levels),White,0
NSF INCLUDES Alliances,CAHSI,1,2019-2020,Direct,Student ,Duplicated,Undergraduate students at 2-year institutions of higher education (IHEs),American Indian or Alaska Native ,0
NSF INCLUDES Alliances,CAHSI,1,2019-2020,Direct,Student ,Duplicated,Undergraduate students at 2-year institutions of higher education (IHEs),Asian or Asian American,0
NSF INCLUDES Alliances,CAHSI,1,2019-2020,Direct,Student ,Duplicated,Undergraduate students at 2-year institutions of higher education (IHEs),Black or African American,0
NSF INCLUDES Alliances,CAHSI,1,2019-2020,Direct,Student ,Duplicated,Undergraduate students at 2-year institutions of higher education (IHEs),Collected but not recognized,0
NSF INCLUDES Alliances,CAHSI,1,2019-2020,Direct,Student ,Duplicated,Undergraduate students at 2-year institutions of higher education (IHEs),Middle Eastern or Northern African ,0
NSF INCLUDES Alliances,CAHSI,1,2019-2020,Direct,Student ,Duplicated,Undergraduate students at 2-year institutions of higher education (IHEs),Multi Racial,0
NSF INCLUDES Alliances,CAHSI,1,2019-2020,Direct,Student ,Duplicated,Undergraduate students at 2-year institutions of higher education (IHEs),Native Hawaiian or Other Pacific Islander,0
NSF INCLUDES Alliances,CAHSI,1,2019-2020,Direct,Student ,Duplicated,Undergraduate students at 2-year institutions of higher education (IHEs),Not collected,15
NSF INCLUDES Alliances,CAHSI,1,2019-2020,Direct,Student ,Duplicated,Undergraduate students at 2-year institutions of higher education (IHEs),Not provided,0
NSF INCLUDES Alliances,CAHSI,1,2019-2020,Direct,Student ,Duplicated,Undergraduate students at 2-year institutions of higher education (IHEs),Other,0
NSF INCLUDES Alliances,CAHSI,1,2019-2020,Direct,Student ,Duplicated,Undergraduate students at 2-year institutions of higher education (IHEs),White,0
NSF INCLUDES Alliances,CAHSI,1,2019-2020,Direct,Student ,Duplicated,Undergraduate students at 4-year IHEs,American Indian or Alaska Native ,0
NSF INCLUDES Alliances,CAHSI,1,2019-2020,Direct,Student ,Duplicated,Undergraduate students at 4-year IHEs,Asian or Asian American,0
NSF INCLUDES Alliances,CAHSI,1,2019-2020,Direct,Student ,Duplicated,Undergraduate students at 4-year IHEs,Black or African American,0
NSF INCLUDES Alliances,CAHSI,1,2019-2020,Direct,Student ,Duplicated,Undergraduate students at 4-year IHEs,Collected but not recognized,0
NSF INCLUDES Alliances,CAHSI,1,2019-2020,Direct,Student ,Duplicated,Undergraduate students at 4-year IHEs,Middle Eastern or Northern African ,0
NSF INCLUDES Alliances,CAHSI,1,2019-2020,Direct,Student ,Duplicated,Undergraduate students at 4-year IHEs,Multi Racial,0
NSF INCLUDES Alliances,CAHSI,1,2019-2020,Direct,Student ,Duplicated,Undergraduate students at 4-year IHEs,Native Hawaiian or Other Pacific Islander,0
NSF INCLUDES Alliances,CAHSI,1,2019-2020,Direct,Student ,Duplicated,Undergraduate students at 4-year IHEs,Not collected,776
NSF INCLUDES Alliances,CAHSI,1,2019-2020,Direct,Student ,Duplicated,Undergraduate students at 4-year IHEs,Not provided,0
NSF INCLUDES Alliances,CAHSI,1,2019-2020,Direct,Student ,Duplicated,Undergraduate students at 4-year IHEs,Other,0
NSF INCLUDES Alliances,CAHSI,1,2019-2020,Direct,Student ,Duplicated,Undergraduate students at 4-year IHEs,White,0
NSF INCLUDES Alliances,First2,1,2019-2020,Direct,Student ,Duplicated,Elementary school students,American Indian or Alaska Native ,0
NSF INCLUDES Alliances,First2,1,2019-2020,Direct,Student ,Duplicated,Elementary school students,Asian or Asian American,0
